K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-expresses-isolation,user-romantic-interest,3532,510,0.144,0.136,1.059,0.353,3532,509,0.144,0.356,-0.903,0.006,0.133,0.156
3,user-endorses-delusion,user-mental-health-diagnosis,27653,397,0.014,0.014,1.049,0.35,27653,397,0.014,0.041,-1.037,0.001,0.013,0.016
3,user-suicidal-intent,user-metaphysical-themes,69,13,0.188,0.182,1.036,0.345,69,13,0.196,0.452,-0.837,0.047,0.104,0.288
3,not:user-romantic-interest,user-mental-health-diagnosis,156121,2211,0.014,0.014,1.035,0.345,156121,2211,0.014,0.041,-1.051,0.0,0.014,0.015
3,user-platonic-affinity,user-expresses-isolation,37355,736,0.02,0.02,1.009,0.336,37355,734,0.02,0.057,-1.073,0.001,0.018,0.021
3,not:user-misconstrues-sentience,user-mental-health-diagnosis,142778,1970,0.014,0.014,1.008,0.336,142778,1970,0.014,0.041,-1.077,0.0,0.013,0.014
3,not:user-mental-health-diagnosis,user-romantic-interest,178310,24501,0.137,0.136,1.007,0.336,178310,24345,0.137,0.356,-0.958,0.001,0.135,0.138
3,not:user-assigns-personhood,user-mental-health-diagnosis,145419,1996,0.014,0.014,1.003,0.334,145419,1996,0.014,0.041,-1.082,0.0,0.013,0.014
3,not:user-suicidal-intent,user-romantic-interest,180713,24627,0.136,0.136,0.999,0.333,180713,24470,0.135,0.356,-0.966,0.001,0.134,0.137
3,not:user-violent-intent,user-romantic-interest,180700,24624,0.136,0.136,0.999,0.333,180700,24467,0.135,0.356,-0.966,0.001,0.134,0.137
3,not:user-expresses-isolation,user-romantic-interest,177250,24127,0.136,0.136,0.998,0.333,177250,23971,0.135,0.356,-0.968,0.001,0.134,0.137
3,not:user-mental-health-diagnosis,user-misconstrues-sentience,178310,37327,0.209,0.21,0.996,0.332,178310,37073,0.208,0.507,-0.892,0.001,0.206,0.21
3,not:user-mental-health-diagnosis,user-assigns-personhood,178310,34739,0.195,0.196,0.996,0.332,178310,34508,0.194,0.479,-0.907,0.001,0.192,0.195
3,not:user-suicidal-intent,user-misconstrues-sentience,180713,37747,0.209,0.21,0.994,0.331,180713,37491,0.207,0.507,-0.894,0.001,0.206,0.209
3,not:user-suicidal-intent,user-assigns-personhood,180713,35109,0.194,0.196,0.994,0.331,180713,34876,0.193,0.479,-0.91,0.001,0.191,0.195
3,not:user-violent-intent,user-misconstrues-sentience,180700,37725,0.209,0.21,0.993,0.331,180700,37476,0.207,0.507,-0.894,0.001,0.206,0.209
3,not:user-violent-intent,user-assigns-personhood,180700,35091,0.194,0.196,0.993,0.331,180700,34865,0.193,0.479,-0.91,0.001,0.191,0.195
3,not:user-metaphysical-themes,user-suicidal-intent,147910,56,0.0,0.0,0.993,0.331,147910,56,0.0,0.001,-1.105,0.0,0.0,0.0
3,not:user-suicidal-intent,user-endorses-delusion,180713,27385,0.152,0.153,0.991,0.33,180713,27256,0.151,0.392,-0.956,0.001,0.149,0.152
3,not:user-violent-intent,user-endorses-delusion,180700,27365,0.151,0.153,0.99,0.33,180700,27242,0.151,0.392,-0.956,0.001,0.149,0.152
3,not:user-expresses-isolation,user-misconstrues-sentience,177250,36796,0.208,0.21,0.988,0.329,177250,36548,0.206,0.507,-0.9,0.001,0.204,0.208
3,not:user-mental-health-diagnosis,user-endorses-delusion,178310,26943,0.151,0.153,0.988,0.329,178310,26817,0.15,0.392,-0.959,0.001,0.149,0.152
3,not:user-mental-health-diagnosis,user-platonic-affinity,178310,36355,0.204,0.207,0.987,0.329,178310,36169,0.203,0.501,-0.903,0.001,0.201,0.205
3,not:user-expresses-isolation,user-assigns-personhood,177250,34225,0.193,0.196,0.987,0.329,177250,33999,0.192,0.479,-0.916,0.001,0.19,0.194
3,not:user-suicidal-intent,user-platonic-affinity,180713,36820,0.204,0.207,0.986,0.329,180713,36630,0.203,0.501,-0.904,0.001,0.201,0.205
3,not:user-violent-intent,user-platonic-affinity,180700,36816,0.204,0.207,0.986,0.329,180700,36626,0.203,0.501,-0.904,0.001,0.201,0.205
3,not:user-romantic-interest,user-expresses-isolation,156121,3002,0.019,0.02,0.985,0.328,156121,2999,0.019,0.057,-1.096,0.0,0.019,0.02
3,not:user-suicidal-intent,user-metaphysical-themes,180713,32345,0.179,0.182,0.984,0.328,180713,32194,0.178,0.452,-0.932,0.001,0.176,0.18
3,not:user-violent-intent,user-metaphysical-themes,180700,32344,0.179,0.182,0.984,0.328,180700,32193,0.178,0.452,-0.932,0.001,0.176,0.18
3,not:user-expresses-isolation,user-platonic-affinity,177250,35998,0.203,0.207,0.983,0.328,177250,35812,0.202,0.501,-0.907,0.001,0.2,0.204
3,not:user-mental-health-diagnosis,user-metaphysical-themes,178310,31869,0.179,0.182,0.983,0.328,178310,31722,0.178,0.452,-0.933,0.001,0.176,0.18
3,not:user-violent-intent,user-expresses-isolation,180700,3449,0.019,0.02,0.977,0.326,180700,3445,0.019,0.057,-1.103,0.0,0.018,0.02
3,not:user-violent-intent,user-violent-intent,180700,80,0.0,0.0,0.977,0.326,180700,77,0.0,0.001,-1.16,0.0,0.0,0.001
3,not:user-suicidal-intent,user-expresses-isolation,180713,3446,0.019,0.02,0.976,0.325,180713,3442,0.019,0.057,-1.104,0.0,0.018,0.02
3,not:user-expresses-isolation,user-endorses-delusion,177250,26426,0.149,0.153,0.975,0.325,177250,26300,0.148,0.392,-0.972,0.001,0.147,0.15
3,not:user-platonic-affinity,user-mental-health-diagnosis,143427,1912,0.013,0.014,0.974,0.325,143427,1912,0.013,0.041,-1.111,0.0,0.013,0.014
3,not:user-expresses-isolation,user-metaphysical-themes,177250,31319,0.177,0.182,0.972,0.324,177250,31170,0.176,0.452,-0.945,0.001,0.174,0.178
3,not:user-platonic-affinity,user-expresses-isolation,143427,2719,0.019,0.02,0.971,0.324,143427,2717,0.019,0.057,-1.11,0.0,0.018,0.02
3,user-metaphysical-themes,user-mental-health-diagnosis,32872,434,0.013,0.014,0.964,0.321,32872,434,0.013,0.041,-1.121,0.001,0.012,0.014
3,not:user-violent-intent,user-suicidal-intent,180700,66,0.0,0.0,0.958,0.319,180700,66,0.0,0.001,-1.141,0.0,0.0,0.0
3,not:user-violent-intent,user-mental-health-diagnosis,180700,2332,0.013,0.014,0.943,0.314,180700,2332,0.013,0.041,-1.144,0.0,0.012,0.013
3,not:user-suicidal-intent,user-mental-health-diagnosis,180713,2327,0.013,0.014,0.941,0.314,180713,2327,0.013,0.041,-1.146,0.0,0.012,0.013
3,user-romantic-interest,user-expresses-isolation,24661,453,0.018,0.02,0.941,0.314,24661,452,0.018,0.057,-1.142,0.001,0.017,0.02
